url,category_code,category_description,date_added,source,notes
http://actualidaddelperu.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://alvaropampa.blogspot.com,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab
http://apuntesperuanos.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://blog.descargasgay.com,PORN,Pornography,2014-04-15,citizenlab
http://blog.pucp.edu.pe,FREL,Foreign relations and military,2014-04-15,citizenlab
http://blog.pucp.edu.pe/item/17090,FREL,Foreign relations and military,2014-04-15,citizenlab
http://bloggeras.wordpress.com,WOMR,Women's rights,2014-04-15,citizenlab
http://caballeroredverde.blogspot.com,ENV,Environment,2014-04-15,citizenlab
http://cristianamente.blogspot.com,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab
http://democraciamulticultural.blogspot.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://econopolitica.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://es.catholic.net,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab
http://goldmine.wordpress.com,ENV,Environment,2014-04-15,citizenlab
http://huancavelica.zoomblog.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://indigenista.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://ingenuopais.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://marconaprotesta.wordpress.com,HUMR,Human rights,2014-04-15,citizenlab
http://mlajo.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab
http://peru.indymedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://peruenrumba.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://quechuanetwork.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://syscgtp.cgtp.org.pe,POLT,Political transformation,2014-04-15,citizenlab
http://tlc-no.blogspot.com,FREL,Foreign relations and military,2014-04-15,citizenlab
http://tlc.ticoblogger.com,FREL,Foreign relations and military,2014-04-15,citizenlab
http://todosobrelaoroya.org,ENV,Environment,2014-04-15,citizenlab
http://www.accionensida.org.pe,PUBH,Public health,2014-04-15,citizenlab
http://www.accionpopular.org.pe,POLT,Political transformation,2014-04-15,citizenlab
http://www.achuarperu.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.adehrperu.org,HUMR,Human rights,2014-04-15,citizenlab
http://www.aeperu.blogspot.com,DEV,Development,2014-04-15,citizenlab
http://www.aidesep.org.pe,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.airesaludable.org,ENV,Environment,2014-04-15,citizenlab
http://www.aja.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.allpa.org.pe,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.amnistia.org.pe,HUMR,Human rights,2014-04-15,citizenlab
http://www.andina.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.anp.org.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.aoe.org.pe,XED,Sex education and family planning,2014-04-15,citizenlab
http://www.apra.org.pe,POLT,Political transformation,2014-04-15,citizenlab
http://www.aprodeh.org.pe,HUMR,Human rights,2014-04-15,citizenlab
http://www.armoniafamiliarperu.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab
http://www.asociacion-peru.net.tc,HUMR,Human rights,2014-04-15,citizenlab
http://www.bandera-roja.com,POLT,Political transformation,2014-04-15,citizenlab
http://www.bandera-roja.com/peru.htm,POLT,Political transformation,2014-04-15,citizenlab
http://www.bilaterals.org,FREL,Foreign relations and military,2014-04-15,citizenlab
http://www.biodiversidadla.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.blogsperu.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab
http://www.caaap.org.pe,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.cajpe.org.pe,HUMR,Human rights,2014-04-15,citizenlab
http://www.caretas.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.ceas.org.pe,HUMR,Human rights,2014-04-15,citizenlab
http://www.cedal.org.pe,DEV,Development,2014-04-15,citizenlab
http://www.cedema.org,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab
http://www.cedema.org/index.php?ver=mostrar&pais=1&nombrepais=Venezuela,MILX,"Militants, extremists and separatists",2014-04-15,citizenlab
http://www.cepes.org.pe,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.chirapaq.org.pe,MINR,Minority rights and ethnic content,2014-04-15,citizenlab
http://www.comexperu.org.pe,DEV,Development,2014-04-15,citizenlab
http://www.conam.gob.pe,ENV,Environment,2014-04-15,citizenlab
http://www.conocereisdeverdad.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab
http://www.cpnradio.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.criptored.upm.es,HACK,Hacking,2014-04-15,citizenlab
http://www.cronicaviva.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.cverdad.org.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.deambiente.com,GAYL,Gay-lesbian,2014-04-15,citizenlab
http://www.defensoria.gob.pe,HUMR,Human rights,2014-04-15,citizenlab
http://www.defiendetufe.org,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab
http://www.delpais.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.demus.org.pe,WOMR,Women's rights,2014-04-15,citizenlab
http://www.derechos.org/nizkor/peru/,HUMR,Human rights,2014-04-15,citizenlab
http://www.dhperu.org,HUMR,Human rights,2014-04-15,citizenlab
http://www.diariochaski.com.pe,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.diariodechimbote.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.diariodelcusco.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
http://www.diarioelsoldecusco.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab
