url,category_code,category_description,date_added,source,notes
http://celebrate.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner
https://erczim.org/,HUMR,Human Rights Issues,2016-07-22,OONI,url provided by OONI partner
http://ewn.co.za/2016/07/14/Hundreds-march-to-Zim-embassy-in-PTA/,POLR,Political Criticism,2016-07-22,OONI,
http://ewn.co.za/2016/07/14/Zimbabweans-celebrate-the-release-of-Pastor-Evan-Mawarire/,POLR,Political Criticism,2016-07-22,OONI,
http://ewn.co.za/2016/07/18/Zimbabwean-citizens-have-suffered-for-too-long/,POLR,Political Criticism,2016-07-22,OONI,
http://ewn.co.za/Topic/Evan-Mawarire/,POLR,Political Criticism,2016-07-22,OONI,
http://galz.org/,LGBT,LGBT,2016-07-22,OONI,url provided by OONI partner
http://kalabashmedia.com/,CULTR,Culture,2016-07-22,OONI,url provided by OONI partner
https://mdc.co.zw/,POLR,Political Criticism,2016-07-22,OONI,
http://mg.co.za/article/2016-07-12-thisflag-pastor-evan-mawarire-summoned-by-zimbabwean-police/,POLR,Political Criticism,2016-07-22,OONI,
http://religionnews.com/2016/07/21/how-thisflag-pastor-evan-mawarire-used-facebook-to-shut-down-zimbabwe/,POLR,Political Criticism,2016-07-22,OONI,
http://saharareporters.com/2016/07/06/protests-shut-zimbabwe-down-mugabe-government-throttles-social-media-stave-criticism/,POLR,Political Criticism,2016-07-22,OONI,
https://twitter.com/pastorevanlive/,POLR,Political Criticism,2016-07-22,OONI,
http://www.263chat.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner
http://www.3-mob.com/,CULTR,Culture,2016-07-22,OONI,url provided by OONI partner
http://www.aljazeera.com/programmes/countingthecost/2014/02/robert-mugabe-economic-legacy-201422010939634296.html/,POLR,Political Criticism,2016-07-22,OONI,
http://www.bulawayo24.com/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner
http://www.channelzim.net/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner
http://www.classifieds.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner
http://www.deseretnews.com/article/865658538/How-ThisFlag-pastor-Evan-Mawarire-used-Facebook-to-shut-down-Zimbabwe.html/,POLR,Political Criticism,2016-07-22,OONI,
http://www.econet.co.zw/,COMM,E-commerce,2016-07-22,OONI,url provided by OONI partner
http://www.fifmi.org/,REL,Religion,2016-07-22,OONI,url provided by OONI partner
http://www.herald.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner
http://www.hmetro.co.zw/,NEWS,News Media,2016-07-22,OONI,url provided by OONI partner
