url,category_code,category_description,date_added,source,notes
http://aabtoursandtravel.com/,SRCH,Search Engines,2014-04-15,citizenlab,
http://acfode.org/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://activists4change.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://andrewmwendasblog.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://blogs.monitor.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://bros4bros.com/,LGBT,LGBT,2016-08-06,OONI,
http://campuser.net/,GRP,Social Networking,2016-08-06,OONI,
http://chimpreports.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://cpj.org/attacks06/africa06/uga06.html,NEWS,News Media,2014-04-15,citizenlab,
http://dembefm.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://dennismatanda.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://dioceseofnorthernuganda.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://dpuganda.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://dying-communist.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://fdcuganda.org/,POLR,Political Criticism,2014-04-15,citizenlab,
http://fedsnet.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://fsdinternational.org/country/uganda/envissues,ENV,Environment,2016-08-06,OONI,
http://gayuganda.blogspot.com/,LGBT,LGBT,2014-04-15,citizenlab,
http://globalblogagainstaids.blogspot.com/,PUBH,Public Health,2014-04-15,citizenlab,
http://hackersuganda.wordpress.com/,HACK,Hacking Tools,2014-04-15,citizenlab,
http://humanistuganda.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://hurinet.or.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://huripec.mak.ac.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://imaginet.co.ug/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
https://infopoint.co.ug/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://invisiblechildren.com/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://jssozi.wordpress.com/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://kalinaki.blogspot.com/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://katwe.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://kawowo.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://kfm.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://killthebilluganda.blogspot.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://mak.ac.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://maureenagena.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://mingle2.com/countries/346/uganda,DATE,Online Dating,2016-08-06,OONI,
http://mondaytimes.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://nakedchiefs.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://news.yahoo.com/uganda-frets-over-rebel-threat-congo-refugees-reach-164849460.html,GOVT,Government,2014-04-15,citizenlab,
http://ngoforum.or.ug/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://northernugandapost.blogspot.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://ntv.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://ntvuganda.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://observer.ug/,NEWS,News Media,2014-04-15,citizenlab,
http://owerahbits.blogspot.com/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://pathwaystopeaceuganda.com/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://pctechmag.com/,MMED,Media sharing,2014-04-15,citizenlab,
https://plus.google.com/+ntvuganda/posts,COMT,Communication Tools,2014-04-15,citizenlab,
http://proggie.ug/,MMED,Media sharing,2014-04-15,citizenlab,
http://redpeppe.ipower.com/ibriefing.php?item=1,POLR,Political Criticism,2014-04-15,citizenlab,
http://sba.co.ug/,GAME,Gaming,2014-04-15,citizenlab,
https://securityinabox.org/,ANON,Anonymization and circumvention tools,2016-08-06,OONI,
https://ssd.eff.org/,ANON,Anonymization and circumvention tools,2016-08-06,OONI,
http://thepearlguide.co.ug/,SRCH,Search Engines,2014-04-15,citizenlab,
http://thinkafricapress.com/uganda/resurgent-adf-threatens-stability-great-lakes-region,GOVT,Government,2014-04-15,citizenlab,
http://tortureinuganda.wordpress.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
https://twitter.com/amamambabazi,POLR,Political Criticism,2014-04-15,citizenlab,
https://twitter.com/andrewmwenda,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/cobbo3,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/hackersuganda,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/kahindaotafiire,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/kalinaki,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/mugishamuntu,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/ntvuganda,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/otafiire_,GRP,Social Networking,2014-04-15,citizenlab,
https://twitter.com/rosebellk,MISC,Miscelaneous content,2014-04-15,citizenlab,
https://twitter.com/uwonet,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://udn.or.ug/,ECON,Economics,2014-04-15,citizenlab,
http://uganda.blogspirit.com/,NEWS,News Media,2014-04-15,citizenlab,
http://ugandaforums.com/,GRP,Social Networking,2014-04-15,citizenlab,
http://ugandaletsgotravel.com/,SRCH,Search Engines,2014-04-15,citizenlab,
http://ugandansatheart.org/,GRP,Social Networking,2014-04-15,citizenlab,
http://ugandaradionetwork.com/a/,MMED,Media sharing,2014-04-15,citizenlab,
http://ugandasafaritrail.com/,SRCH,Search Engines,2014-04-15,citizenlab,
http://ugandawatch.blogspot.com/,NEWS,News Media,2014-04-15,citizenlab,
http://ugpulse.com/,CULTR,Culture,2014-04-15,citizenlab,
http://ugpulse.com/ugandan-community/blogs/samsung/default.aspx,CULTR,Culture,2014-04-15,citizenlab,
http://ugpulse.com/ugandan-community/forums/default.aspx,CULTR,Culture,2014-04-15,citizenlab,
http://unstats.un.org/unsd/environment/envpdf/UNSD_UNEP_ECA%20Workshop/Uganda.pdf,ENV,Environment,2016-08-06,OONI,
http://upcparty.net/,POLR,Political Criticism,2014-04-15,citizenlab,
http://urbanlegendkampala.com/,MMED,Media sharing,2014-04-15,citizenlab,
http://whosoever.org/,LGBT,LGBT,2014-04-15,citizenlab,
http://wwf.panda.org/who_we_are/wwf_offices/uganda/problems_uganda/,ENV,Environment,2016-08-06,OONI,
http://www.aboutuganda.com/,SRCH,Search Engines,2014-04-15,citizenlab,
http://www.acholitoday.worldbreak.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.acme-ug.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.actionaid.org/uganda/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.actvuganda.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.advocate.com/news/world-news/2013/04/02/photos-antigay-rally-held-ugandan-activist-david-katos-grave?page=full,LGBT,LGBT,2014-04-15,citizenlab,
http://www.afriboyz.com/,PORN,Pornography,2014-04-15,citizenlab,
http://www.africafoicentre.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.africanzone.com/,GRP,Social Networking,2016-08-06,OONI,
http://www.aglionline.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.allmale.com/,LGBT,LGBT,2016-08-06,OONI,
https://www.amamambabazi.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.bukedde.co.ug/,MISC,Miscelaneous content,2014-04-15,citizenlab,
http://www.catholicmatch.com/online-dating/Uganda/singles.html,DATE,Online Dating,2016-08-06,OONI,
http://www.cfi.co.ug/,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,
http://www.cheki.co.ug/,COMM,E-commerce,2014-04-15,citizenlab,
http://www.child-soldier.org/children-in-conflict-child-soldiers-in-uganda,HUMR,Human Rights Issues,2016-08-06,OONI,
http://www.cipesa.org/,NEWS,News Media,2014-04-15,citizenlab,
http://www.crisisgroup.org/home/index.cfm?id=2346&l=1,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.doctorswithoutborders.org/news/uganda.cfm,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.enoughproject.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.exposed2013.com/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/blackmondaymovement,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/197403350412865/,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/24455258874/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/groups/547975235242159/,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/groups/activists4change/,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/groups/nokasesesplit/?hc_location=stream,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/kagutamuseveni,POLR,Political Criticism,2014-04-15,citizenlab,
https://www.facebook.com/mmuntu1,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/mycountryuganda,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/ntvuganda,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/pages/janet-museveni/145017272175220,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/pages/parliament-watch-uganda/519752108067598?ref=stream&hc_location=stream,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/pages/ugandans-at-heartuah/132196106801171,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/stopabsenteeism,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/ugandahackersforum,GRP,Social Networking,2014-04-15,citizenlab,
https://www.facebook.com/ugandandiaspora,GRP,Social Networking,2014-04-15,citizenlab,
http://www.faweuganda.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.federo.com/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.fhri.or.ug/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.fidauganda.org/,HUMR,Human Rights Issues,2016-08-06,OONI,
http://www.genderhealth.org/uganda.php,PUBH,Public Health,2014-04-15,citizenlab,
