url,category_code,category_description,date_added,source,notes
http://ahlulbait12.jeeran.com,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://albrhan.org,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alhag.net,MINR,Minority rights and ethnic content,2014-04-15,citizenlab,
http://alsaha.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://alsaha.fares.net,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://angryarab.blogspot.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://answering-islam.org,MINF,Minority faiths,2014-04-15,citizenlab,
http://answering-islam.org/Arabic/index.html,REL,"Religious conversion, commentary and criticism",2014-04-15,citizenlab,
http://ar.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%AA%D9%85%D9%8A%D9%85_%D8%A8%D9%86_%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%AB%D8%A7%D9%86%D9%8A,HUMR,Human rights,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%AE%D9%84%D9%8A%D9%81%D8%A9_%D8%A2%D9%84_%D8%AB%D8%A7%D9%86%D9%8A,HUMR,Human rights,2014-04-15,citizenlab,
http://ar.wikipedia.org/wiki/%D9%82%D8%B7%D8%B1,HUMR,Human rights,2014-04-15,citizenlab,
http://arabic.peopledaily.com.cn,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://arabsex2.com,PORN,Pornography,2014-04-15,citizenlab,
http://armbeans.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://ayaanhirsiali.web-log.nl,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://bbcarabic.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://blogs.albawaba.com,BLGSERV,Blogging domains and blogging services,2014-04-15,citizenlab,
http://bloodmirror.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://bluegrape.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://brokenpie.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://callname.info,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://carpocket.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://clubtanker.com,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://coppernose.pw,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/1,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/10,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/11,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/12,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/13,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/14,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/15,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/16,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/160,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/166,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/17,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/170,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/18,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/19,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/2,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/20,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/21,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/22,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/23,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/230,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/24,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/243,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/244,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/245,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/246,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/247,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/248,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/249,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/25,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/250,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/252,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/253,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/254,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/26,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/27,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/28,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/29,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/3,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/30,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/31,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/32,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/33,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/34,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/35,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/36,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/37,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/39,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/4,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/40,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/41,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/42,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/43,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/44,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/45,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/47,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/48,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/49,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/5,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/50,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/51,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/53,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/54,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/6,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/7,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/8,COMM,E-commerce,2014-04-15,citizenlab,
http://denypagetests.netsweeper.com/category/catno/9,COMM,E-commerce,2014-04-15,citizenlab,
http://dogfixer.info/smiley.jpg,PORN,Pornography,2014-04-15,citizenlab,
http://earthlight.pw,ANON,Anonymizers and circumvention,2014-04-15,citizenlab,
http://en.wikipedia.org,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Emir_of_Qatar,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Foreign_relations_of_Qatar,HUMR,Human rights,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Hamad_bin_Khalifa,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/LGBT_rights_in_Qatar,GAYL,Gay-lesbian,2014-04-15,citizenlab,
http://en.wikipedia.org/wiki/Military_of_Qatar,FEXP,Free expression and media freedom,2014-04-15,citizenlab,
