url,category_code,category_description,date_added,source,notes
https://pt.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://en.wiktionary.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://nl.wikipedia.org/,CULTR,Culture,2018-07-06,Wikimedia,URLs provided by wikipedia based on the most popular language domains per country
https://partidoalianca.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.bloco.org/,POLR,Political Criticism,2019-09-25,Anonymous,
https://fazsentido.cds.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://partidochega.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.cdu.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://iniciativaliberal.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://juntospelopovo.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://partidolivre.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.mas.org.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://noscidadaos.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.pan.com.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.lutapopularonline.org/,POLR,Political Criticism,2019-09-25,Anonymous,
https://pdr.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.pnr.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.cds.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://ppmonarquico.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.psd.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://ps.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.partidotrabalhista.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.purp.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://mpt.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.partido-rir.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
http://www.cne.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.recenseamento.mai.gov.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.eleicoes.mai.gov.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.portaldoeleitor.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.sg.mai.gov.pt/AdministracaoEleitoral/Paginas/default.aspx/,POLR,Political Criticism,2019-09-25,Anonymous,
https://www.tribunalconstitucional.pt/,POLR,Political Criticism,2019-09-25,Anonymous,
