url,category_code,category_description,date_added,source,notes
http://fergana.ru/,POLR,Political Criticism,2014-04-15,citizenlab,
http://ferghana.ru/,POLR,Political Criticism,2014-04-15,citizenlab,
http://www.internews.eu/,NEWS,News Media,2014-04-15,citizenlab,
http://www.iwpr.net/,HUMR,Human Rights Issues,2014-04-15,citizenlab,
http://www.lenta.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://www.rusembassy.tajnet.com/,GOVT,Government,2014-04-15,citizenlab,
http://www.turajon.com/,REL,Religion,2014-04-15,citizenlab,
http://www.voprosik.net/,NEWS,News Media,2014-04-15,citizenlab,
http://www.zvezda.ru/,NEWS,News Media,2014-04-15,citizenlab,
http://www.bbc.com/kyrgyz/,NEWS,News Media,2017-07-19,BBC,
http://www.bbckyrgyz.com/,NEWS,News Media,2017-07-19,BBC,
http://www.bbc.com/uzbek/,NEWS,News Media,2017-07-19,BBC,
https://rus.ozodi.org/,NEWS,News Media,2022-07-26,OONI,
https://akhbor.com/,NEWS,News Media,2022-07-26,OONI,
https://asiaplustj.info/,NEWS,News Media,2022-07-26,OONI,
https://jumhuriyat.tj/,NEWS,News Media,2022-07-26,OONI,
https://khovar.tj/,NEWS,News Media,2022-07-26,OONI,
https://payom.net/,POLR,Political Criticism,2022-07-26,OONI,
