url,category_code,category_description,date_added,source,notes
https://www.dabangasudan.org/,NEWS,News Media,2017-07-17,Free Press Unlimited,
http://radiotamazuj.org/,NEWS,News Media,2017-07-17,Free Press Unlimited,Reported to be blocked by South Sudan national communication authority on 2017-07-14
http://www.sudantribune.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked
http://nyamile.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked
http://www.alrakoba.net/,NEWS,News Media,2017-07-18,CIPIT,
http://www.southsudannewsagency.com/,NEWS,News Media,2017-07-18,CIPIT,
http://www.southsudannation.com/,NEWS,News Media,2017-07-18,CIPIT,Reportedly blocked
http://www.ssudan.com/,NEWS,News Media,2017-07-18,CIPIT,
https://paanluelwel.com/,POLR,Political Criticism,2017-07-18,CIPIT,Reportedly blocked
http://www.eyeradio.org/,NEWS,News Media,2018-01-23,TAHURID, Government threatened to shutdown
http://hotinjuba.com/,NEWS,News Media,2018-01-23,TAHURID,
http://catholicradionetwork.org/,NEWS,News Media,2018-01-23,TAHURID,Some of its radio station were shut (Radio Bakhita)
http://www.talkofjuba.com/,NEWS,News Media,2018-01-23,TAHURID,
http://cepo-southsudan.org/,POLR,Political Criticism,2018-01-23,TAHURID,
http://defyhatenow.net/,HATE,Hate Speech,2018-01-23,TAHURID,
https://unmiss.unmissions.org/radio-miraya-news,NEWS,News Media,2018-01-23,TAHURID,
http://gurtong.net/,NEWS,News Media,2018-01-23,TAHURID,
http://www.jubamonitor.com/,NEWS,News Media,2018-01-23,TAHURID,News being censored (Hard copies)
http://www.citizen-news.net/,NEWS,News Media,2018-07-06,OONI,
http://www.thenationmirror.com/,NEWS,News Media,2018-07-06,OONI,
http://www.irinnews.org/,ECON,Economics,2018-07-06,OONI,
https://www.bbc.co.uk/search?q=Sudan,NEWS,News Media,2018-07-06,OONI,
http://sora.akm.net.au/,CULTR,Culture,2018-07-06,OONI,
http://jubafilmfestival.info/,CULTR,Culture,2018-07-06,OONI,
http://www.newsudanvision.com/,NEWS,News Media,2018-07-06,OONI,
http://www.southsudan.net/,CULTR,Culture,2018-07-06,OONI,
http://www.southsudantoday.net/,NEWS,News Media,2018-07-06,OONI,
http://sudantribune.com/,NEWS,News Media,2018-07-06,OONI,
https://www.unicef.org/southsudan/,HUMR,Human Rights Issues,2018-07-06,OONI,
https://www.peaceinsight.org/conflicts/south-sudan/peacebuilding-organisations/ssccr/,ECON,Economics,2018-07-06,OONI,
http://www.accord.org.za/,ECON,Economics,2018-07-06,OONI,Related to conflict resolution
http://www.ccr.org.za/,ECON,Economics,2018-07-06,OONI,Related to conflict resolution
http://wordpress.clarku.edu/id252-southsudan/2014/12/17/peace-building-and-conflict-resolution/,ECON,Economics,2018-07-06,OONI,Related to conflict resolution
https://eeas.europa.eu/headquarters/headquarters-homepage/6758_fr,IGO,Intergovernmental Organizations,2018-07-06,OONI,
https://igad.int/,ECON,Economics,2018-07-06,OONI,Related to conflict resolution
